voted_at_et,voter,verdict,pair,direction,entry_price,entry_level,sl_pips,method,trend,zone,triggered_at,signal_token
2026-09-15 23:03:08,ddavis1721,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:03:10,GmanP03,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:03:11,Steven,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:03:14,Steven,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:03:31,GmanP03,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:03:32,GmanP03,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:03:33,Steven,valid,EUR_JPY,,,,,,,,,96c0eba3
2026-09-15 23:03:35,Steven,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:03:37,GmanP03,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:03:38,Steven,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:03:39,GmanP03,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:03:46,ddavis1721,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:04:26,ddavis1721,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:04:38,ddavis1721,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:04:40,ddavis1721,invalid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:06:44,ddavis1721,invalid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:06:47,ddavis1721,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:09:49,ddavis1721,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 23:10:11,Steven,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 23:10:12,Steven,valid,EUR_JPY,LONG,179.0,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),DEMAND 178.912-179.068 (1H),2026-09-16 00:12:00+00:00,2e4b6e2c
2026-09-15 23:12:11,ddavis1721,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-15 23:12:40,GmanP03,valid,EUR_USD,LONG,1.15348,15,8,confirmation_sequence,2-of-3 agree (4H+1H),DEMAND 1.15319-1.15363 (1H),2026-09-16 02:12:00+00:00,18b81ace
2026-09-16 10:16:02,Steven,valid,USD_CAD,LONG,1.39308,15,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 1.39268-1.39336 (1H),2026-09-16 14:00:00+00:00,e3ec5854
2026-09-16 10:33:15,Steven,invalid,USD_JPY,LONG,154.966,1,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 154.944-155.155 (1H),2026-09-16 14:15:00+00:00,4ac9a640
2026-09-16 10:34:27,ddavis1721,valid,GBP_USD,SHORT,1.34766,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),SUPPLY 1.34653-1.34859 (4H),2026-09-16 11:28:00+00:00,21a31935
2026-09-16 10:47:48,ddavis1721,valid,USD_CAD,LONG,1.39308,15,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 1.39268-1.39336 (1H),2026-09-16 14:00:00+00:00,e3ec5854
2026-09-16 10:48:10,ddavis1721,invalid,USD_JPY,LONG,154.966,1,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 154.944-155.155 (1H),2026-09-16 14:15:00+00:00,4ac9a640
2026-09-16 10:48:11,ddavis1721,invalid,USD_JPY,LONG,154.966,1,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 154.944-155.155 (1H),2026-09-16 14:15:00+00:00,4ac9a640
2026-09-16 12:58:23,GmanP03,valid,GBP_CAD,SHORT,1.87505,5,8,wick_tap,2-of-3 agree (4H+1H),SUPPLY 1.87406-1.87582 (1H),2026-09-16 16:30:00+00:00,14ac76c3
2026-09-16 13:03:15,GmanP03,valid,USD_CAD,LONG,1.39318,1,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 1.39268-1.39336 (1H),2026-09-16 14:30:00+00:00,6174bd3e
2026-09-16 19:28:11,ddavis1721,valid,GBP_CAD,SHORT,1.87505,5,8,wick_tap,2-of-3 agree (4H+1H),SUPPLY 1.87406-1.87582 (1H),2026-09-16 16:30:00+00:00,14ac76c3
2026-09-16 21:26:35,Steven,invalid,GBP_USD,SHORT,1.34766,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),SUPPLY 1.34653-1.34859 (4H),2026-09-16 11:28:00+00:00,21a31935
2026-09-16 21:26:38,Steven,valid,GBP_USD,SHORT,1.34766,15,8,confirmation_sequence,3-of-3 agree (Daily+4H+1H),SUPPLY 1.34653-1.34859 (4H),2026-09-16 11:28:00+00:00,21a31935
2026-09-16 21:26:42,GmanP03,valid,EUR_JPY,SHORT,179.057,5,10,wick_tap,3-of-3 agree (Daily+4H+1H),SUPPLY 179.018-179.158 (1H),2026-09-16 16:15:00+00:00,761147ca
2026-09-16 21:27:27,Steven,valid,USD_CAD,LONG,1.39308,15,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 1.39268-1.39336 (1H),2026-09-16 14:00:00+00:00,e3ec5854
2026-09-16 21:27:33,ddavis1721,valid,EUR_JPY,SHORT,179.057,5,10,wick_tap,3-of-3 agree (Daily+4H+1H),SUPPLY 179.018-179.158 (1H),2026-09-16 16:15:00+00:00,761147ca
2026-09-16 21:27:41,GmanP03,valid,GBP_USD,SHORT,1.34538,1,8,wick_tap,3-of-3 agree (Daily+4H+1H),SUPPLY 1.34462-1.34632 (1H),2026-09-16 16:15:00+00:00,c09f010c
2026-09-16 21:27:48,Steven,valid,USD_JPY,LONG,154.966,1,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 154.944-155.155 (1H),2026-09-16 14:15:00+00:00,4ac9a640
2026-09-16 21:27:49,GmanP03,valid,EUR_JPY,SHORT,179.147,1,8,wick_tap,3-of-3 agree (Daily+4H+1H),SUPPLY 179.018-179.158 (1H),2026-09-16 14:45:00+00:00,53df4bc5
2026-09-16 21:27:57,Steven,invalid,USD_JPY,LONG,154.966,1,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 154.944-155.155 (1H),2026-09-16 14:15:00+00:00,4ac9a640
2026-09-16 21:28:14,Steven,invalid,USD_CAD,LONG,1.39318,1,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 1.39268-1.39336 (1H),2026-09-16 14:30:00+00:00,6174bd3e
2026-09-16 21:28:16,GmanP03,invalid,GBP_JPY,SHORT,208.888,15,8,wick_tap,2-of-3 agree (4H+1H),SUPPLY 208.602-208.918 (1H),2026-09-16 15:15:00+00:00,5a6228c5
2026-09-16 21:28:22,ddavis1721,invalid,GBP_JPY,SHORT,208.888,15,8,wick_tap,2-of-3 agree (4H+1H),SUPPLY 208.602-208.918 (1H),2026-09-16 15:15:00+00:00,5a6228c5
2026-09-16 21:28:57,Steven,invalid,USD_CAD,LONG,1.39318,1,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 1.39268-1.39336 (1H),2026-09-16 14:30:00+00:00,6174bd3e
2026-09-16 21:29:00,Steven,invalid,USD_CAD,LONG,1.39332,5,8,wick_tap,3-of-3 agree (Daily+4H+1H),DEMAND 1.39268-1.39336 (1H),2026-09-16 14:30:00+00:00,518d9883
2026-09-16 21:29:11,Steven,invalid,EUR_USD,LONG,1.15328,1,8,wick_tap,2-of-3 agree (4H+1H),DEMAND 1.15316-1.15388 (1H),2026-09-16 14:45:00+00:00,a3c5b398
2026-09-16 21:29:38,Steven,invalid,EUR_JPY,SHORT,179.058,5,10,wick_tap,3-of-3 agree (Daily+4H+1H),SUPPLY 179.018-179.158 (1H),2026-09-16 14:45:00+00:00,39c532c9
2026-09-16 21:29:55,Steven,invalid,EUR_USD,LONG,1.15411,5,10,wick_tap,2-of-3 agree (4H+1H),DEMAND 1.15316-1.15388 (1H),2026-09-16 14:45:00+00:00,6d19eb4b
2026-09-16 21:30:11,Steven,invalid,EUR_USD,LONG,1.15411,5,10,wick_tap,2-of-3 agree (4H+1H),DEMAND 1.15316-1.15388 (1H),2026-09-16 14:45:00+00:00,6d19eb4b
2026-09-16 21:30:12,Steven,invalid,EUR_USD,LONG,1.15411,5,10,wick_tap,2-of-3 agree (4H+1H),DEMAND 1.15316-1.15388 (1H),2026-09-16 14:45:00+00:00,6d19eb4b
2026-09-16 21:30:13,Steven,invalid,EUR_USD,LONG,1.15404,15,8,wick_tap,2-of-3 agree (4H+1H),DEMAND 1.15316-1.15388 (1H),2026-09-16 15:00:00+00:00,eb4298e2
